"Longitude","Latitude"
-80.01711479,33.16533125
-80.33254432,33.22065263
-83.09669962,35.02026886
-80.10396757,35.53667377
-80.06418012,35.43791574
-79.99768022,33.1627026
-81.87014976,36.03227969
-83.4579534,35.26877573
-83.18563576,35.10964208
-80.47928344,33.49400957
-78.88498428,36.18091266
-83.52583767,35.32822822
-82.26163771,35.39574469
-82.62561317,35.17736466
-82.97861689,35.07592326
-83.81090891,35.51610415
-83.81211292,35.50973245
-83.92372671,35.51901622
-83.44449512,35.72757664
-81.70989801,35.56838943
-80.5448056,32.70488646
-81.14774161,36.01545626
-82.23287529,35.27151153
-79.80453845,35.23471265
-82.97787845,35.0270413
-82.98402965,35.01286842
-82.98187,35.06159385
-82.99155751,35.02154998
-82.9798579,35.07690075
-82.97969125,35.06410323
-82.99108107,35.05453417
-82.97335848,35.03832621
-82.97194353,35.0032741
-83.03604974,35.08081112
-83.00043131,35.0678744
-82.96638133,35.00326881
-82.96253085,35.02900207
-83.02594793,35.06541661
-83.01037266,35.09127521
-83.01097344,35.07174723
-82.98098472,35.0125706
-82.96777937,35.01973719
-82.97471085,35.01407809
-82.98588632,35.06735597
-80.3342839,33.19631126
-83.51913592,35.32087494
-83.85589282,35.52562917
-80.78429735,33.81359814
-83.10037175,35.10146063
-83.09910135,35.09826132
-83.09985236,35.09991042
-83.10105768,35.10070149
-83.09978877,35.10095439
-81.30100829,35.21079036
-75.66112357,35.98790348
-83.14158193,34.99705263
-83.06774696,35.00615222
-83.10502613,35.01257858
-83.13995039,35.01614825
-83.10095188,35.00250824
-79.82208812,35.49900587
-80.09384038,35.35699253
-80.03186416,35.43512544
-80.06520864,35.44385215
-83.10627437,35.28802121
-83.0254472,35.23069713
-83.3582691,35.08615101
-83.37043673,35.03135447
-83.1082416,35.30514596
-81.77789718,36.10152287
-81.09623314,35.29073756
-95.06292888,31.43815114
-95.485082,30.65394531
-85.09851325,34.63470705
-85.00864342,30.64816271
-86.97254576,32.7760058
-87.05040938,32.68797422
-79.3295404,35.6831839
-81.09264399,35.30200032
