"decimalLongitude","decimalLatitude"
36.291276,50.052311
36.233658,49.997269
36.357065,50.034738
36.220929,50.017386
36.358126,50.036017
36.355433,50.031055
36.209725,50.023149
36.210275,49.990307
36.238843,49.99639
36.21404,50.016179
36.228778,50.035047
28.850192,45.350194
36.201113,50.059187
36.244624,49.989552
36.376854,49.938234
36.332282,49.986378
36.222839,49.990909
36.209239,50.049025
28.108594,49.039051
27.431513,47.184849
30.782731,46.58539
36.2903,50.053796
36.211837,50.064125
36.344025,50.01747
36.204792,50.038595
36.297214,49.866888
36.196877,50.060465
36.24598,50.010909
36.280028,49.945399
36.355094,49.954639
36.345008,49.996147
36.411444,49.92412
19.329256,49.08022
32.078229,49.439594
30.72802,46.39229
37.286351,49.179433
36.360673,50.033107
36.231773,50.005192
34.783414,50.884424
36.359548,49.694406
36.301401,49.937604
37.266501,49.212145
30.354404,50.539221
38.325184,49.815701
20.878774,52.302152
20.851882,52.25143
20.893986,52.296711
20.827562,52.306624
20.83484,52.311778
36.354112,50.041793
36.224997,50.008673
36.359924,49.645781
26.241182,50.314434
25.036648,50.844632
24.873317,50.742183
24.791244,50.734962
24.923577,50.793396
24.780453,50.814467
20.543367,52.141256
31.110452,46.907834
36.241131,50.082662
36.492077,49.902584
35.975788,50.0299
24.395038,49.041426
36.176341,49.916677
24.88935,50.834556
44.288,41.963
33.605333,49.962728
30.485678,50.583126
24.845601,50.781511
24.832379,50.714973
24.773558,50.794001
25.004984,50.808801
25.048744,50.804452
24.992825,50.816975
25.068601,50.82984
27.307117,50.181176
27.286593,50.17683
27.309641,50.194836
27.305279,50.161822
27.34704,50.144765
27.212584,50.157512
27.247152,50.150038
27.222648,50.201688
34.685877,50.727307
31.860509,49.545343
36.116622,49.905094
37.6028,49.705557
26.831019,50.1697
27.442462,50.19105
27.520272,50.159811
35.298713,47.458808
44.344853,50.972268
21.416716,51.506876
21.575492,51.52953
30.781276,46.576126
30.629885,50.109938
36.272398,50.110897
35.286727,47.441473
36.353121,49.998759
36.142899,49.981782
36.231938,49.993604
36.199467,50.064149
36.223465,50.006953
36.245924,50.038623
37.681046,49.629721
33.065379,46.759586
36.237567,50.01155
36.226582,50.009972
30.171384,50.441989
36.233507,50.005203
36.204195,50.069072
36.35459,50.037298
34.61052,47.648924
36.207427,50.055532
36.218982,50.015735
36.330974,50.017393
36.225738,50.019021
36.251785,50.004199
36.367964,50.034877
24.325657,50.848195
33.096787,48.66327
27.055992,50.175749
36.371065,49.938142
35.213588,47.774906
36.240262,50.082421
36.25532,49.952392
24.064227,49.793658
36.201903,50.038251
34.932499,48.485026
36.258832,49.915909
36.258126,50.145763
34.509657,49.573925
35.072283,47.887103
35.157174,47.82
35.046997,47.867807
37.053623,48.534226
33.647347,47.565815
22.711711,48.449306
31.445424,47.712896
30.711707,46.483983
36.216859,50.004747
36.160923,50.039093
36.232724,50.006511
36.361856,50.003434
36.338789,50.043992
36.194416,50.055877
28.658667,50.25465
30.797871,46.588823
30.670982,46.469287
36.367701,49.941577
36.290786,50.040661
36.218559,50.035801
36.346776,50.034122
36.232087,49.987572
36.19966,50.058908
34.394815,47.56746
36.175688,50.006782
36.235213,49.994804
36.225169,50.002769
36.288346,50.053855
36.212838,50.071484
36.217906,50.011711
36.328675,50.010813
36.19483,50.060002
36.350914,50.039739
36.27375,50.011357
36.337446,50.023621
37.570191,49.030759
36.237727,49.99467
36.23258,49.991017
46.072472,53.701766
36.305351,50.006267
34.80219,48.511817
36.273139,49.939637
36.841466,50.05614
35.942142,50.00593
36.324234,50.018379
36.789792,50.07794
37.589592,49.035451
35.0616,50.3897
31.374,46.6243
36.236673,50.001161
36.250583,49.955763
36.162836,50.072026
36.252913,49.973712
29.054143,50.317224
21.247257,48.995778
32.955777,46.567574
36.118032,49.884646
27.063156,50.176655
20.798965,52.554899
30.762316,46.461355
36.341607,50.041262
36.234147,49.999396
36.352612,50.03552
36.232276,49.990295
36.279762,49.91883
36.249435,49.977632
31.781765,50.256819
30.788011,46.588112
30.784539,46.585966
35.540244,50.163625
35.229414,47.877791
36.222975,50.020017
35.068475,47.870151
35.234642,47.842681
35.16104,47.830561
36.23563,50.002901
32.613158,46.64193
35.060045,48.42525
32.595751,46.640921
33.645045,49.015668
36.23482,50.031829
24.386725,50.203671
30.648086,46.295224
36.126205,49.95162
36.294351,50.058829
36.364229,50.038589
36.266744,50.00295
36.349981,50.033446
26.188833,49.22235
36.355252,49.992527
36.201683,50.061411
36.353207,50.043438
36.232169,50.030847
36.342727,50.031014
36.223356,49.986894
36.24785,50.041208
36.259798,50.088502
36.359419,49.982082
36.249336,50.001299
36.231952,49.994999
36.233589,49.995178
36.346979,50.004299
36.36027,50.03698
36.347167,50.035182
36.20951,50.051303
36.230275,49.996023
36.241245,50.035518
36.285982,50.046879
36.218085,50.016359
36.342654,50.022321
36.209114,49.968676
36.365417,49.900664
36.350208,49.960839
36.338415,50.024087
36.27185,49.980156
36.350159,50.041705
36.322043,49.965798
36.405531,49.915641
36.431731,49.899962
36.250137,50.013427
36.24489,49.98421
36.233001,50.006163
36.125274,49.950108
36.183769,49.985025
36.231941,50.014878
36.246719,50.016287
36.263225,50.003667
36.285121,50.045883
36.320934,49.985637
36.32824,50.006306
36.4017,49.913734
36.358312,50.034395
36.29444,50.022244
36.310153,50.013476
36.355208,50.03042
36.357318,50.040377
36.222211,50.005551
36.224226,50.005193
36.216095,50.002104
36.223044,50.008849
36.221179,49.967544
25.313632,42.756239
36.250037,49.955937
25.726,50.098
25.788,51.478
25.797,51.482
25.754,51.483
27.239,51.448
27.353,51.574
27.415,51.528
27.379,51.553
27.43,51.563
27.242,51.553
27.16,51.557
21.258835,48.294132
21.279865,48.250419
21.279758,48.250783
21.25897,48.295251
21.279722,48.250889
21.279843,48.250503
29.922385,49.338453
44.679,41.812
42.912,42.298
24.28267,49.90958
35.458892,49.385457
36.228759,50.010294
36.339741,50.02087
36.221628,50.010439
36.221248,50.012628
36.333456,50.01004
36.352936,50.032745
36.241106,50.023731
36.211476,50.027786
36.234132,50.036047
36.22169,50.03765
36.205403,50.044375
36.24667,49.992665
24.885455,43.233492
30.779809,46.571145
36.22024,49.966692
36.236866,50.003716
30.639966,46.452507
36.355645,50.031994
36.412631,49.920213
36.3186,50.019933
26.18955,49.186017
30.751649,46.440296
36.230507,50.00715
36.228003,50.018026
36.365895,50.037453
36.332445,50.01695
36.257455,49.92706
36.265885,50.003648
33.366867,45.19045
23.825322,53.674347
34.816978,50.898014
36.244042,49.985183
36.199229,50.063103
36.210219,50.017349
36.227774,50.007235
36.335036,50.022135
36.246897,49.986671
36.41109,49.911617
30.974437,52.428526
36.354521,50.031755
34.579678,49.576797
36.366591,50.039997
37.58435,48.738967
36.335854,49.99503
36.35734,50.035378
36.218776,50.014541
36.224558,50.018085
36.217497,50.019132
36.235951,49.989595
25.94,48.34
27.545022,53.90527
36.227517,50.020986
36.239277,49.995541
36.240902,50.002952
36.221908,49.992759
36.349744,50.008655
25.99,48.29
33.392627,50.401445
33.38627,50.374709
36.25093,49.956052
36.39741,49.945571
36.170859,49.915895
25.73,48.37
26.676,51.32
33.287475,50.459903
35.482,50.425
29.909472,46.95485
35.171133,47.568778
30.915661,47.182167
36.227115,50.011211
36.204299,49.989454
36.240089,50.00353
33.391,52.27
33.391,52.267
33.395,52.261
33.4,52.261
36.213669,50.006855
36.358251,50.035417
35.997811,49.718144
36.168267,49.942174
36.367482,50.038172
36.279811,50.045137
36.351945,50.03382
36.387149,49.928891
36.299009,50.005296
36.403138,49.915149
36.210913,50.005173
36.242549,49.982713
36.176901,49.979431
36.353539,50.034847
35.120007,49.457626
36.096609,49.954196
36.278835,49.878524
36.213005,50.064881
36.353381,50.041133
36.272162,49.985914
36.273901,49.984951
36.290576,50.050631
36.340323,49.989361
36.211101,50.032444
36.223688,50.031113
41.073,43.028
41.17,42.794
41.003,43.089
19.674307,48.315655
45.134,41.847
44.955,41.783
32.249961,50.316437
36.77437,49.760719
36.223407,50.006831
36.250304,49.956117
36.225194,50.009083
35.431,50.397
34.561681,49.618138
24.740637,47.843549
42.327,41.541
43.361,42.195
24.959,47.78
30.821464,50.987811
30.830382,51.026175
30.646126,51.102532
30.633674,51.028351
31.626715,49.715141
29.089676,51.953287
30.639236,51.170544
30.647824,51.206754
30.6167,51.191372
43.388,42.124
24.959,47.784
34.546936,49.620956
31.266666,51.044875
33.063128,51.643664
32.284797,50.240769
32.395193,50.36587
33.060759,51.794128
32.473239,50.283044
32.507714,50.289171
32.503156,50.307867
33.074115,51.824187
34.586616,49.803192
32.874959,51.6786
31.792795,50.747978
26.106648,49.245896
33.03182,51.626753
42.33,50.17
42.87,49.72
43.324,42.213
36.204043,50.040918
36.32348,50.023928
36.265871,49.996435
36.367501,50.039552
33.391,52.268
33.399,52.26
24.745199,47.901025
43.582,42.178
42.327,41.539
41.587,42.375
36.228356,50.035107
36.351638,50.03578
36.223347,50.018983
24.867214,47.840321
41.579,42.383
41.61,42.339
41.595,42.371
36.356461,49.982323
36.328026,50.029037
31.177263,47.802952
36.220344,49.965022
36.21421,50.02597
36.223079,50.005791
36.228643,49.921241
36.260907,49.9474
36.226162,49.98014
35.948579,50.002355
36.240349,50.008112
25.863,48.251
37.68785,49.841718
36.363286,50.041513
36.245503,50.007851
36.349163,50.039565
36.249701,50.000188
30.114472,49.802014
30.739004,50.141482
36.412113,49.911537
36.352471,50.041578
36.209376,49.988846
36.20939,50.007262
39.701505,47.235714
36.23531,50.005192
31.874,51.043
36.125568,49.961627
31.873611,51.042778
30.492692,50.336188
45.08,41.379
32.285261,50.742802
32.254334,50.769341
32.273586,50.793494
30.893227,51.082917
30.822771,51.104077
30.806298,51.105524
30.80356,51.09894
32.809098,50.780571
32.817587,50.79011
31.943225,51.801383
31.97052,51.780597
31.916251,51.716408
30.970051,51.233084
30.940639,51.197607
31.363558,50.54977
31.575481,51.629144
23.900334,51.574265
42.436,41.561
45.081,41.365
45.026,41.439
45.079,41.378
42.153,41.638
41.886,41.482
41.82,41.51
46.177,41.642
26.111067,49.245267
32.652616,49.599195
33.223876,49.309598
33.39,52.268
33.391,52.269
24.9596,47.78
24.862544,47.831344
44.76,41.517
46.069,41.695
32.5475,46.5281
36.224843,50.021755
36.35485,50.043397
24.867188,47.840284
24.895276,47.800456
24.929,48.346
35.173931,47.838081
36.230959,50.010933
36.331322,50.019303
25.1624,48.507
25.2256,47.909
20.486066,48.49785
20.370934,47.909197
36.225226,50.023128
36.293911,50.056302
36.355539,49.956416
28.849159,45.34887
36.44395,49.929109
36.21721,50.007239
30.79766,50.506256
30.22292,50.552756
24.711624,48.912627
32.054838,49.421471
34.584649,49.572876
36.146183,49.952081
36.236397,49.99657
36.166115,49.976004
34.993843,47.382476
36.084036,37.193643
36.084417,37.194543
28.676003,50.262328
26.264016,50.614734
36.227918,50.01916
36.223278,50.025153
30.339761,53.898191
26.286013,50.280726
42.167,41.641
42.265,41.575
42.378,41.901
31.214536,50.864505
31.290406,51.373802
32.844132,52.259465
32.800726,52.088374
32.560283,51.936903
32.92281,51.135382
32.912517,51.132441
44.491,41.594
46.071,41.909
45.114,42.109
45.668,41.441
32.273591,50.3419
32.477623,50.585777
32.907825,50.448446
32.389884,50.464522
33.243915,50.108322
31.283459,50.614939
32.256059,50.657623
33.261931,50.157479
32.749,51.554
33.131,51.669
23.606944,49.025827
33.390794,52.254498
42.837,42.131
45.143,41.446
45.147,41.434
45.155,41.426
46.311,41.86
45.023,41.518
45.002,41.534
45.019,41.519
44.998,41.531
36.232738,49.996309
46.098,41.499
35.524,50.444
